@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE season NUMERIC
@ATTRIBUTE commentCount NUMERIC
@ATTRIBUTE greatComment NUMERIC
@ATTRIBUTE goodComment NUMERIC
@ATTRIBUTE badComment NUMERIC
@ATTRIBUTE location NUMERIC

@DATA
4784949,907218,5,20140601050814,06,179,133,38,8,46
44339870,907218,3,20140505214636,05,179,133,38,8,46
57775426,907218,5,20140430153840,04,179,133,38,8,46
5480896,907218,4,20140412161612,04,179,133,38,8,46
17539461,907218,4,20140408112201,04,179,133,38,8,46
86845754,5438838,4,20150916151513,09,356,241,95,20,46
45780864,5438838,4,20150914132156,09,356,241,95,20,46
52208028,5438838,3,20150907154957,09,356,241,95,20,46
90325669,5438838,5,20150906234951,09,356,241,95,20,46
36575891,5438838,5,20150905195625,09,356,241,95,20,46
76317479,5438838,4,20150905113609,09,356,241,95,20,46
49673469,5438838,3,20150904160333,09,356,241,95,20,46
90330154,5438838,4,20150904113149,09,356,241,95,20,46
42806958,5438838,4,20150901005639,09,356,241,95,20,46
82846236,5438838,3,20150830232825,08,356,241,95,20,46
37364779,5438838,4,20150828101124,08,356,241,95,20,46
58401371,5438838,4,20150827080947,08,356,241,95,20,46
44942626,5438838,3,20150824194059,08,356,241,95,20,46
72217296,5438838,3,20150821150605,08,356,241,95,20,46
46376914,5438838,3,20150820084638,08,356,241,95,20,46
46570889,10433,5,20160221144957,02,360,264,68,28,46
35352770,10433,4,20160212204350,02,360,264,68,28,46
74284578,10433,5,20160130205245,01,360,264,68,28,46
85795942,10433,5,20160128134136,01,360,264,68,28,46
163810,10433,5,20160123091215,01,360,264,68,28,46
73419014,10433,5,20160109075025,01,360,264,68,28,46
30110613,10433,5,20160106114052,01,360,264,68,28,46
51719256,10433,5,20150630110055,06,360,264,68,28,46
32758453,10433,3,20151231080357,12,360,264,68,28,46
48331177,10433,3,20151223200612,12,360,264,68,28,46
92934038,10433,3,20151221160343,12,360,264,68,28,46
32973377,10433,5,20151218074952,12,360,264,68,28,46
819105,10433,3,20151215143821,12,360,264,68,28,46
74656169,10433,5,20151214223027,12,360,264,68,28,46
92835643,10433,4,20151213193721,12,360,264,68,28,46
53299119,5438819,3,20150624202922,06,249,212,36,1,46
80722288,5438819,5,20150618125010,06,249,212,36,1,46
72217296,5438819,4,20150618095306,06,249,212,36,1,46
36759789,5438819,5,20150616102448,06,249,212,36,1,46
17320622,5438819,4,20150615220830,06,249,212,36,1,46
55417686,5438819,3,20150608153154,06,249,212,36,1,46
53625277,5438819,5,20150529173539,05,249,212,36,1,46
17188386,5438819,4,20150529120650,05,249,212,36,1,46
90474396,5438819,4,20150522104946,05,249,212,36,1,46
886966,5438819,4,20150513234614,05,249,212,36,1,46
90157524,5438819,5,20150504233840,05,249,212,36,1,46
62223346,5438819,5,20150429183552,04,249,212,36,1,46
17281116,5438819,4,20150429150348,04,249,212,36,1,46
74980944,5438819,4,20150423234300,04,249,212,36,1,46
55928131,5438819,3,20150420153736,04,249,212,36,1,46
278774,5426406,4,20150621081314,06,227,155,49,23,46
46221031,5426406,4,20150618115607,06,227,155,49,23,46
13002777,5426406,4,20150617122509,06,227,155,49,23,46
36759789,5426406,5,20150616105614,06,227,155,49,23,46
36759789,5426406,5,20150616101919,06,227,155,49,23,46
34116863,5426406,2,20150509212229,05,227,155,49,23,46
32802292,5426406,4,20150505111600,05,227,155,49,23,46
62639641,5426406,4,20150504214813,05,227,155,49,23,46
87583352,5426406,5,20150503012607,05,227,155,49,23,46
19054042,5426406,3,20150502151919,05,227,155,49,23,46
52125304,5426406,4,20150428231500,04,227,155,49,23,46
34654060,5426406,3,20150428082913,04,227,155,49,23,46
17534632,5426406,3,20150307175149,03,227,155,49,23,46
42106862,5426406,4,20150206132151,02,227,155,49,23,46
17174211,5426406,4,20150204110811,02,227,155,49,23,46
69030382,907218,4,20141212094912,12,179,133,38,8,46
19580984,907218,5,20141112085845,11,179,133,38,8,46
75675768,907218,5,20141031152735,10,179,133,38,8,46
13107111,907218,5,20141027114432,10,179,133,38,8,46
41017186,907218,4,20141024154815,10,179,133,38,8,46
64051478,907218,4,20141011153351,10,179,133,38,8,46
17487179,907218,4,20141010182959,10,179,133,38,8,46
5216211,907218,5,20141005102532,10,179,133,38,8,46
46600326,907218,2,20140927225219,09,179,133,38,8,46
31742218,907218,5,20140924095242,09,179,133,38,8,46
42485995,907218,4,20140911115521,09,179,133,38,8,46
19055882,907218,4,20140903133215,09,179,133,38,8,46
17330464,907218,3,20140815101458,08,179,133,38,8,46
49813915,907218,4,20140801161226,08,179,133,38,8,46
32669974,907218,3,20140801111835,08,179,133,38,8,46
31467398,5438838,3,20151009150126,10,356,241,95,20,46
86598277,5438838,5,20151007200247,10,356,241,95,20,46
76067298,5438838,4,20151007091647,10,356,241,95,20,46
10113586,5438838,3,20151005064253,10,356,241,95,20,46
70033453,5438838,4,20151004060303,10,356,241,95,20,46
64729003,5438838,5,20151002201952,10,356,241,95,20,46
87590052,5438838,3,20151002083740,10,356,241,95,20,46
17790109,5438838,4,20151001224629,10,356,241,95,20,46
57813849,5438838,3,20150929205010,09,356,241,95,20,46
34930421,5438838,3,20150926173150,09,356,241,95,20,46
926415,5438838,5,20150925204346,09,356,241,95,20,46
47823150,5438838,5,20150925005402,09,356,241,95,20,46
65452398,5438838,4,20150923100526,09,356,241,95,20,46
11033711,5438838,4,20150922180532,09,356,241,95,20,46
36051748,5438838,5,20150918105704,09,356,241,95,20,46
61109519,19963,5,20150709123643,07,5,5,0,0,42
39961219,19963,5,20141228103851,12,5,5,0,0,42
17124538,19963,4,20140906131130,09,5,5,0,0,42
17467886,19963,5,20140814113019,08,5,5,0,0,42
179287,19963,5,20111207211718,12,5,5,0,0,42
93538874,10433,5,20160630155428,06,360,264,68,28,42
5452569,10433,5,20160626181127,06,360,264,68,28,42
93481658,10433,4,20160625174145,06,360,264,68,28,42
81081915,10433,4,20160622063036,06,360,264,68,28,42
723808,10433,3,20160612092817,06,360,264,68,28,42
68772803,10433,5,20160606173252,06,360,264,68,28,42
5114249,10433,4,20160527100505,05,360,264,68,28,42
69074530,10433,5,20160521200735,05,360,264,68,28,42
92904333,10433,4,20160517211255,05,360,264,68,28,42
92608181,10433,4,20160410085219,04,360,264,68,28,42
37702454,10433,3,20160407180203,04,360,264,68,28,42
59561462,10433,5,20160406021345,04,360,264,68,28,42
77794982,10433,4,20160318102833,03,360,264,68,28,42
45031855,10433,5,20160305085331,03,360,264,68,28,42
40879121,10433,4,20160225233724,02,360,264,68,28,42
5207939,5438819,4,20150902163504,09,249,212,36,1,42
37364779,5438819,4,20150828101228,08,249,212,36,1,42
55676038,5438819,3,20150827112020,08,249,212,36,1,42
61586544,5438819,4,20150822155835,08,249,212,36,1,42
57240929,5438819,4,20150819154723,08,249,212,36,1,42
136176,5438819,5,20150816204458,08,249,212,36,1,42
82559669,5438819,3,20150815223426,08,249,212,36,1,42
19257910,5438819,4,20150813132250,08,249,212,36,1,42
41760681,5438819,5,20150813093709,08,249,212,36,1,42
725345,5438819,5,20150811104954,08,249,212,36,1,42
34865205,5438819,4,20150810160853,08,249,212,36,1,42
58401371,5438819,5,20150807131109,08,249,212,36,1,42
76279411,5438819,4,20150806130232,08,249,212,36,1,42
61702243,5438819,4,20150722094026,07,249,212,36,1,42
90615378,5438819,5,20150629123046,06,249,212,36,1,42
90330154,5426406,4,20150823134407,08,227,155,49,23,42
17455000,5426406,4,20150817152655,08,227,155,49,23,42
19145209,5426406,4,20150812121218,08,227,155,49,23,42
17469063,5426406,4,20150810181814,08,227,155,49,23,42
44633796,5426406,2,20150809085322,08,227,155,49,23,42
33509192,5426406,4,20150804092736,08,227,155,49,23,42
341121,5426406,3,20150729152932,07,227,155,49,23,42
42799621,5426406,4,20150728122550,07,227,155,49,23,42
19367715,5426406,4,20150719221012,07,227,155,49,23,42
19367715,5426406,4,20150719220101,07,227,155,49,23,42
30394188,5426406,4,20150716211744,07,227,155,49,23,42
48860795,5426406,2,20150708143348,07,227,155,49,23,42
19857402,5426406,3,20150706153648,07,227,155,49,23,42
87583352,5426406,4,20150624185150,06,227,155,49,23,42
68676524,5426406,5,20150622085232,06,227,155,49,23,42
50891966,907218,5,20150429150201,04,179,133,38,8,42
53858973,907218,4,20150425083709,04,179,133,38,8,42
39787846,907218,4,20150422084312,04,179,133,38,8,42
17122970,907218,4,20150411213920,04,179,133,38,8,42
268346,907218,3,20150305141128,03,179,133,38,8,42
30442519,907218,4,20150223001023,02,179,133,38,8,42
17357147,907218,5,20150202152142,02,179,133,38,8,42
83056771,907218,5,20150201171901,02,179,133,38,8,42
49377112,907218,3,20150127145624,01,179,133,38,8,42
254833,907218,5,20150122111333,01,179,133,38,8,42
56423436,907218,4,20150116140205,01,179,133,38,8,42
69547312,907218,5,20150116000918,01,179,133,38,8,42
5311636,907218,5,20141224134744,12,179,133,38,8,42
77405867,907218,4,20141217234729,12,179,133,38,8,42
77886149,907218,3,20141216211405,12,179,133,38,8,42
91717329,5438838,4,20151118110655,11,356,241,95,20,42
48073258,5438838,4,20151116092710,11,356,241,95,20,42
91632661,5438838,4,20151113052644,11,356,241,95,20,42
899293,5438838,5,20151112080542,11,356,241,95,20,42
