@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE location NUMERIC

@DATA
59265849,5426815,2,20150709,50
547834,5426815,5,20150705,50
17276168,5426815,3,20150701,50
79395499,10403,4,20151012,50
36935217,10403,5,20151012,50
52532215,10403,4,20151011,50
77330297,10403,4,20151010,50
30810921,10403,3,20151010,50
573170,10403,4,20151010,50
62643155,10403,4,20151010,50
19565827,10403,5,20151009,50
75543612,10403,5,20151009,50
64133127,10403,5,20151008,50
83343493,10403,5,20151008,50
43942990,10403,4,20151008,50
67693751,10403,5,20151008,50
64854124,10403,4,20151008,50
54888049,10403,5,20151007,50
55690601,6329611,3,20151007,50
566126,6329611,5,20151007,50
58236121,6329611,5,20151006,50
82451346,6329611,5,20151006,50
15361081,6329611,4,20151005,50
266064,6329611,4,20151004,50
64557049,6329611,4,20151004,50
46907023,6329611,4,20151003,50
69339469,6329611,4,20151002,50
75355536,6329611,4,20151002,50
926415,6329611,5,20150930,50
38057506,6329611,3,20150929,50
17634246,6329611,3,20150928,50
30747314,6329611,4,20150924,50
81758390,6329611,4,20150923,50
5458880,5426815,4,20150811,50
58145296,5426815,3,20150810,50
88315887,5426815,3,20150810,50
5128290,5426815,5,20150809,50
17521409,5426815,5,20150809,50
73048390,5426815,4,20150808,50
46887706,5426815,3,20150808,50
878424,5426815,3,20150807,50
166553,5426815,5,20150807,50
70872852,5426815,3,20150805,50
54344623,5426815,4,20150804,50
17236981,5426815,4,20150731,50
82928610,5426815,3,20150731,50
60052381,5426815,3,20150729,50
89930461,5426815,1,20150729,50
64248613,6325817,3,20150818,50
83720348,6325817,3,20150818,50
55869727,6325817,4,20150817,50
43180251,6325817,5,20150816,50
31723541,6325817,2,20150815,50
40544635,6325817,3,20150815,50
68598506,6325817,5,20150815,50
51167482,6325817,4,20150815,50
5188202,6325817,5,20150815,50
17473712,6325817,4,20150815,50
927538,6325817,4,20150814,50
74303934,6325817,4,20150813,50
478086,6325817,4,20150813,50
41959427,6325817,4,20150813,50
69493799,6325817,4,20150812,50
33975934,10403,5,20151023,50
52551495,10403,4,20151022,50
803977,10403,4,20151020,50
30310748,10403,5,20151019,50
90387996,10403,5,20151019,50
69432252,10403,5,20151018,50
60928855,10403,5,20151016,50
5235325,10403,5,20151016,50
19011898,10403,4,20151015,50
266064,10403,3,20151014,50
13134390,10403,4,20151014,50
49705498,10403,5,20151014,50
79112662,10403,5,20151013,50
63943429,10403,3,20151013,50
90325788,10403,3,20151012,50
39678516,6329611,4,20151026,50
53616213,6329611,5,20151024,50
90387996,6329611,5,20151023,50
55874831,6329611,4,20151023,50
5027406,6329611,5,20151022,50
79225066,6329611,4,20151022,50
37661832,6329611,3,20151018,50
60668533,6329611,4,20151016,50
49705498,6329611,5,20151014,50
61043024,6329611,4,20151013,50
10597039,6329611,3,20151012,50
40420134,6329611,4,20151011,50
31696732,6329611,5,20151009,50
703361,6329611,4,20151009,50
68868504,6329611,5,20151007,50
17484766,5426815,3,20150818,50
90339937,5426815,3,20150818,50
17404264,5426815,5,20150817,50
53922712,5426815,5,20150817,50
60374206,5426815,5,20150817,50
82879885,5426815,3,20150816,50
30939045,5426815,4,20150816,50
40544635,5426815,4,20150816,50
19327098,5426815,1,20150816,50
45086803,5426815,4,20150814,50
77631359,5426815,3,20150813,50
40187560,5426815,5,20150812,50
118628,5426815,4,20150812,50
74303934,5426815,4,20150812,50
19145209,5426815,3,20150811,50
51337409,5438730,5,20170404,34
65008584,5438730,4,20160419,34
90435850,5438730,3,20160416,34
42142400,5438730,4,20140813,34
10017787,5438730,3,20140812,34
54094480,5438730,5,20140717,34
17487179,5438730,2,20131222,34
204498,10403,3,20151112,34
68676524,10403,4,20151108,34
88710979,10403,5,20151108,34
10248400,10403,3,20151108,34
78902275,10403,3,20151107,34
90338456,10403,4,20151104,34
33945034,10403,4,20151103,34
80959490,10403,3,20151102,34
55947115,10403,3,20151102,34
17373438,10403,4,20151101,34
13117454,10403,4,20151031,34
91500757,10403,3,20151030,34
717952,10403,5,20151028,34
88967839,10403,3,20151026,34
5027406,10403,4,20151025,34
39437475,6329611,4,20151209,34
899293,6329611,5,20151208,34
72742677,6329611,3,20151205,34
92723560,6329611,5,20151205,34
5619018,6329611,4,20151202,34
34427208,6329611,5,20151202,34
91545757,6329611,5,20151126,34
92109423,6329611,5,20151126,34
13017864,6329611,4,20151125,34
19080672,6329611,5,20151120,34
91686190,6329611,3,20151118,34
43974402,6329611,5,20151113,34
81236251,6329611,5,20151107,34
66716514,6329611,3,20151105,34
31899445,6329611,4,20151102,34
82451346,5426815,5,20150827,34
72314505,5426815,5,20150827,34
78264881,5426815,3,20150826,34
39813882,5426815,5,20150825,34
65779835,5426815,5,20150824,34
64130069,5426815,5,20150822,34
712598,5426815,4,20150821,34
65585651,5426815,5,20150821,34
19702262,5426815,5,20150821,34
5640870,5426815,3,20150821,34
39045940,5426815,5,20150821,34
41542679,5426815,3,20150820,34
77026368,5426815,4,20150820,34
50408424,5426815,5,20150820,34
