@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC

@DATA
31730092,24850,4,20140710175359
66965325,24850,5,20140710122350
33066329,24850,5,20140707111451
17303238,24850,5,20140707002501
78249406,24850,5,20140703195213
44359860,7691409,5,20160108150011
39951474,7691409,5,20151215232937
78607994,7691409,4,20151023171357
81928271,7691409,4,20151020193156
40022304,7691409,4,20151010162700
72228692,7691409,3,20151009142023
66289150,7691409,5,20150926231931
5188202,7691409,4,20150915101929
54664521,7691409,5,20150913130714
42928020,7691409,3,20150911164711
84851110,7691409,3,20150911073838
53982647,7691409,5,20150906093958
58181166,7691409,4,20150902155243
48347449,7691409,4,20150828105526
50223853,7691409,2,20150826104908
17562574,9586,3,20160726143051
685187,9586,4,20160725110349
81838062,9586,3,20160718140830
32242509,9586,5,20160718083756
85843603,9586,5,20160705214833
5032175,9586,3,20160630143713
381772,9586,3,20160510132319
74253651,9586,5,20160426140907
67894262,9586,5,20160418123626
92608181,9586,4,20160411143317
266064,9586,3,20160327101217
80048035,9586,5,20160317190930
90460320,9586,5,20160313204652
966510,9586,5,20160311221309
19723739,9586,4,20160303175216
45397307,7685256,3,20160814215021
72952387,7685256,3,20150813151845
84385500,7685256,3,20150126151303
17128128,7685256,5,20141202132455
62610697,7685256,3,20141108131449
30332536,7685256,5,20141030142942
82550856,7685256,5,20140526134110
90460320,10019,5,20160314092313
90520219,10019,5,20160305101932
44359860,10019,5,20160108150011
84483807,10019,5,20151102090033
17470407,10019,4,20151027155606
93011286,10019,5,20151229092612
72742677,10019,2,20151224084817
288045,10019,4,20151117082927
19493853,10019,4,20151111095916
78607994,10019,3,20151023171533
637407,10019,3,20151009163505
90003494,10019,3,20151008000529
75355536,10019,4,20151007102101
19552325,10019,4,20150924110255
66289150,10019,5,20150921183625
19763908,6322928,5,20160919141629
75683415,6322928,3,20160905182241
5544789,6322928,3,20160901232504
65657117,6322928,5,20160830212014
93537113,6322928,3,20160816145205
33781820,6322928,3,20160811080840
93656232,6322928,5,20160809151436
71542683,6322928,1,20160807200938
19441100,6322928,3,20160801204453
92744260,6322928,2,20160801195226
68897448,6322928,3,20160727225300
19604943,6322928,5,20160725103142
93620786,6322928,4,20160708132348
90484631,6322928,3,20160624125030
90460320,6322928,5,20160506092414
69967247,24850,4,20140731152635
362882,24850,4,20140731142808
63438096,24850,4,20140731135511
82552054,24850,3,20140731112721
103764,24850,4,20140731111649
66454775,24850,5,20140731102530
5161106,24850,5,20140731100701
19433075,24850,3,20140731100218
58983237,24850,5,20140730213733
50473920,24850,3,20140730205605
45476246,24850,5,20140730172849
385069,24850,5,20140730151645
5170302,24850,4,20140730134954
39974649,24850,4,20140730112027
936083,24850,5,20140730105108
19821940,9586,3,20161008222746
